No,名前,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早,おもさ,とくせい1,とくせい2,かくれとくせい,使用可能
937,ソウブレイズ,ほのお,ゴースト,75,125,80,60,100,85,62,もらいび,,くだけるよろい,
938,ズピカ,でんき,,61,31,41,59,35,45,0.4,マイペース,せいでんき,しめりけ,
939,ハラバリー,でんき,,109,64,91,103,83,45,113,でんきにかえる,せいでんき,しめりけ,
940,カイデン,でんき,ひこう,40,40,35,55,40,70,3.6,ふうりょくでんき,ちくでん,かちき,
941,タイカイデン,でんき,ひこう,70,70,60,105,60,125,38.6,ふうりょくでんき,ちくでん,かちき,
942,オラチフ,あく,,60,78,60,40,51,51,16,いかく,にげあし,はりこみ,
943,マフィティフ,あく,,80,120,90,60,70,85,61,いかく,ばんけん,はりこみ,
944,シルシュルー,どく,ノーマル,40,65,35,40,35,75,0.7,かるわざ,わるいてぐせ,いたずらごころ,
945,タギングル,どく,ノーマル,63,95,65,80,72,110,27.2,かるわざ,どくしゅ,いたずらごころ,
946,アノクサ,くさ,ゴースト,40,65,30,45,35,60,0.6,かぜのり,,すりぬけ,
947,アノホラグサ,くさ,ゴースト,55,115,70,80,70,90,6,かぜのり,,すりぬけ,
948,ノノクラゲ,じめん,くさ,40,40,35,50,100,70,33,きんしのちから,,,
949,リククラゲ,じめん,くさ,80,70,65,80,120,100,58,きんしのちから,,,
950,ガケガニ,いわ,,70,100,115,35,55,75,79,いかりのこうら,シェルアーマー,さいせいりょく,
951,カプサイジ,くさ,,50,62,40,62,40,50,3,ようりょくそ,ふみん,ぶきよう,
952,スコヴィラン,くさ,ほのお,65,108,65,108,65,75,15,ようりょくそ,ふみん,ムラっけ,
952,メガスコヴィラン,くさ,ほのお,65,138,85,138,85,75,22,とびだすハバネロ,,,
953,シガロコ,むし,,41,50,60,31,58,30,1,ふくがん,,だっぴ,
954,ベラカス,むし,エスパー,75,50,85,115,100,45,3.5,シンクロ,,テレパシー,
955,ヒラヒナ,エスパー,,30,35,30,55,30,75,1.5,きけんよち,おみとおし,かそく,
956,クエスパトラ,エスパー,,95,60,60,101,60,105,90,びんじょう,おみとおし,かそく,
957,カヌチャン,フェアリー,はがね,50,45,45,35,64,58,8.9,かたやぶり,マイペース,わるいてぐせ,
958,ナカヌチャン,フェアリー,はがね,65,55,55,45,82,78,59.1,かたやぶり,マイペース,わるいてぐせ,
959,デカヌチャン,フェアリー,はがね,85,75,77,70,105,94,112.8,かたやぶり,マイペース,わるいてぐせ,
960,ウミディグダ,みず,,10,55,25,35,25,95,1.8,ぬめぬめ,びびり,すながくれ,
961,ウミトリオ,みず,,35,100,50,50,70,120,5.4,ぬめぬめ,びびり,すながくれ,
962,オトシドリ,ひこう,あく,70,103,85,60,85,82,42.9,はとむね,するどいめ,いわはこび,
963,ナミイルカ,みず,,70,45,40,45,40,75,60.2,みずのベール,,,
964,イルカマン（ナイーブ）,みず,,100,70,72,53,62,100,60.2,マイティチェンジ,,,
964,イルカマン（マイティ）,みず,,100,160,97,106,87,100,97.4,マイティチェンジ,,,
965,ブロロン,はがね,どく,45,70,63,30,45,47,35,ぼうじん,,スロースタート,
966,ブロロローム,はがね,どく,80,119,90,54,67,90,120,ぼうじん,,フィルター,
967,モトトカゲ,ドラゴン,ノーマル,70,95,65,85,65,121,63,だっぴ,,さいせいりょく,
968,ミミズズ,はがね,,70,85,145,60,55,65,310,どしょく,,すながくれ,
969,キラーメ,いわ,どく,48,35,42,105,60,60,8,どくげしょう,,ふしょく,
970,キラフロル,いわ,どく,83,55,90,130,81,86,45,どくげしょう,,ふしょく,
970,メガキラフロル,いわ,どく,83,90,105,150,96,101,77,てきおうりょく,,,
971,ボチ,ゴースト,,50,61,60,30,55,34,35,ものひろい,,もふもふ,
972,ハカドッグ,ゴースト,,72,101,100,50,97,68,15,すなかき,,もふもふ,
973,カラミンゴ,ひこう,かくとう,82,115,74,75,64,90,37,きもったま,ちどりあし,きょうえん,
974,アルクジラ,こおり,,108,68,45,30,40,43,45,あついしぼう,ゆきがくれ,ちからずく,
975,ハルクジラ,こおり,,170,113,65,45,55,73,700,あついしぼう,ゆきかき,ちからずく,
976,ミガルーサ,みず,エスパー,90,102,73,78,65,70,90,かたやぶり,,きれあじ,
977,ヘイラッシャ,みず,,150,100,115,65,65,35,220,てんねん,どんかん,みずのベール,
978,シャリタツ,ドラゴン,みず,68,50,60,120,95,82,8,しれいとう,,よびみず,
978,メガシャリタツ,みず,ドラゴン,68,65,90,135,125,92,24,,,,
979,コノヨザル,かくとう,ゴースト,110,115,80,50,90,90,56,やるき,せいしんりょく,まけんき,
980,ドオー,どく,じめん,130,75,60,45,100,20,223,どくのトゲ,ちょすい,てんねん,
981,リキキリン,ノーマル,エスパー,120,90,70,110,70,60,160,はんすう,テイルアーマー,そうしょく,
982,ノココッチ,ノーマル,,125,100,80,85,75,55,39.2,てんのめぐみ,にげあし,びびり,
983,ドドゲザン,あく,はがね,100,135,120,60,85,50,120,まけんき,そうだいしょう,プレッシャー,
984,イダイナキバ,じめん,かくとう,115,131,131,53,53,87,320,こだいかっせい,,,
985,サケブシッポ,フェアリー,エスパー,115,65,99,65,115,111,8,こだいかっせい,,,
986,アラブルタケ,くさ,あく,111,127,99,79,99,55,21,こだいかっせい,,,
987,ハバタクカミ,ゴースト,フェアリー,55,55,55,135,135,135,4,こだいかっせい,,,
988,チヲハウハネ,むし,かくとう,85,135,79,85,105,81,92,こだいかっせい,,,
989,スナノケガワ,でんき,じめん,85,81,97,121,85,101,60,こだいかっせい,,,
990,テツノワダチ,じめん,はがね,90,112,120,72,70,106,240,クォークチャージ,,,
991,テツノツツミ,こおり,みず,56,80,114,124,60,136,11,クォークチャージ,,,
992,テツノカイナ,かくとう,でんき,154,140,108,50,68,50,380.7,クォークチャージ,,,
993,テツノコウベ,あく,ひこう,94,80,86,122,80,108,111,クォークチャージ,,,
994,テツノドクガ,ほのお,どく,80,70,60,140,110,110,36,クォークチャージ,,,
995,テツノイバラ,いわ,でんき,100,134,110,70,84,72,303,クォークチャージ,,,
996,セビエ,ドラゴン,こおり,65,75,45,35,45,55,17,ねつこうかん,,アイスボディ,
997,セゴール,ドラゴン,こおり,90,95,66,45,65,62,30,ねつこうかん,,アイスボディ,
998,セグレイブ,ドラゴン,こおり,115,145,92,75,86,87,210,ねつこうかん,,アイスボディ,
998,メガセグレイブ,ドラゴン,こおり,115,175,117,105,101,87,315,,,,
999,コレクレー歩,ゴースト,,45,30,25,75,45,80,5,びびり,,,
999,コレクレー箱,ゴースト,,45,30,70,75,70,10,0.1,にげあし,,,
1000,サーフゴー,はがね,ゴースト,87,60,95,133,91,84,30,おうごんのからだ,,,
1001,チオンジェン,あく,くさ,85,85,100,95,135,70,74.2,わざわいのおふだ,,,
1002,パオジアン,あく,こおり,80,120,80,90,65,135,152.2,わざわいのつるぎ,,,
1003,ディンルー,あく,じめん,155,110,125,55,80,45,699.7,わざわいのうつわ,,,
1004,イーユイ,あく,ほのお,55,80,80,135,120,100,4.9,わざわいのたま,,,
1005,トドロクツキ,ドラゴン,あく,105,139,71,55,101,119,380,こだいかっせい,,,
1006,テツノブジン,フェアリー,かくとう,74,130,90,120,60,116,35,クォークチャージ,,,
1007,コライドン,かくとう,ドラゴン,100,135,115,85,100,135,303,ひひいろのこどう,,,
1008,ミライドン,でんき,ドラゴン,100,85,100,135,115,135,240,ハドロンエンジン,,,
1009,ウネルミナモ,みず,ドラゴン,90,83,91,125,83,109,280,こだいかっせい,,,
1010,テツノイサハ,くさ,エスパー,90,130,88,70,108,104,125,クォークチャージ,,,
1011,カミッチュ,くさ,ドラゴン,80,80,110,95,80,40,4.4,かんろなミツ,くいしんぼう,ねんちゃく,
1012,チャデス,くさ,ゴースト,40,45,45,74,54,50,1.1,おもてなし,,たいねつ,
1013,ヤバソチャ,くさ,ゴースト,71,60,106,121,80,70,2.2,おもてなし,,たいねつ,
1014,イイネイヌ,どく,かくとう,88,128,115,58,86,80,92.2,どくのくさり,,ばんけん,
1015,マシマシラ,どく,エスパー,88,75,66,130,90,106,12.2,どくのくさり,,おみとおし,
1016,キチキギス,どく,フェアリー,88,91,82,70,125,99,30.1,どくのくさり,,テクニシャン,
1017,オーガポン草,くさ,,80,120,84,60,96,110,39.8,まけんき,,,
1017,オーガポン炎,くさ,ほのお,80,120,84,60,96,110,39.8,かたやぶり,,,
1017,オーガポン水,くさ,みず,80,120,84,60,96,110,39.8,ちょすい,,,
1017,オーガポン岩,くさ,いわ,80,120,84,60,96,110,39.8,がんじょう,,,
1018,ブリジュラス,はがね,ドラゴン,90,105,130,125,65,85,60,じきゅうりょく,がんじょう,すじがねいり,
1019,カミツオロチ,くさ,ドラゴン,106,80,110,120,80,44,93,かんろなミツ,さいせいりょく,ねんちゃく,
1020,ウガツホムラ,ほのお,ドラゴン,105,115,121,65,93,91,590,こだいかっせい,,,
1021,タケルライコ,でんき,ドラゴン,125,73,91,137,89,75,480,こだいかっせい,,,
1022,テツノイワオ,いわ,エスパー,90,120,80,68,108,124,162.5,クォークチャージ,,,
1023,テツノカシラ,はがね,エスパー,90,72,100,122,108,98,156,クォークチャージ,,,
1024,テラパゴス（テラスタルフォルム）,ノーマル,,95,95,110,105,110,85,16,テラスシェル,,,
1024,テラパゴス（ステラフォルム）,ノーマル,,160,105,110,130,110,85,77,ゼロフォーミング,,,
1025,モモワロウ,どく,ゴースト,88,88,160,88,88,88,0.3,どくくぐつ,,,
